"Frame","MessageId","MessageOrderIndex","ChannelId","Timestamp","MessageAction","MessageTypeName","OriginEndpointId","DestinationEndpointId","CustomPayloadTypename","CustomPayloadUncompressedByteSize","StringPayload"
"5","971938CE4D5A09647A827BBCBFEDE3FA","","0","2020.05.18-15.49.46","Publish","ConcertAdmin_DiscoverServersEvent","42D626394F1728E1B6EA3FA9DB551B09","00000000000000000000000000000000","None","0",""
"5","2E35633844975ECE6F181C82DDE29B80","","0","2020.05.18-15.49.46","Receive","ConcertReliableHandshakeData","CCA9AA4C4E2D4F83C451D5BD1FF17388","42D626394F1728E1B6EA3FA9DB551B09","None","0",""
"5","2E35633844975ECE6F181C82DDE29B80","","0","2020.05.18-15.49.46","EndpointDiscovery","ConcertReliableHandshakeData","CCA9AA4C4E2D4F83C451D5BD1FF17388","42D626394F1728E1B6EA3FA9DB551B09","None","0",""
"5","8852A53F4576E89E08CDDA8300E256F6","","0","2020.05.18-15.49.46","Send","ConcertReliableHandshakeData","42D626394F1728E1B6EA3FA9DB551B09","CCA9AA4C4E2D4F83C451D5BD1FF17388","None","0",""
"5","2E35633844975ECE6F181C82DDE29B80","","0","2020.05.18-15.49.46","Receive","ConcertReliableHandshakeData","CCA9AA4C4E2D4F83C451D5BD1FF17388","42D626394F1728E1B6EA3FA9DB551B09","None","0",""
"5","D20896894A6F5D77DB1303991BB251E9","","0","2020.05.18-15.49.46","Send","ConcertReliableHandshakeData","42D626394F1728E1B6EA3FA9DB551B09","CCA9AA4C4E2D4F83C451D5BD1FF17388","None","0",""
"5","BBB623854F21FE938951EE8C01667881","","0","2020.05.18-15.49.46","Receive","ConcertReliableHandshakeData","8242DA61457A63F85D82D18495F1C99E","42D626394F1728E1B6EA3FA9DB551B09","None","0",""
"5","BBB623854F21FE938951EE8C01667881","","0","2020.05.18-15.49.46","EndpointDiscovery","ConcertReliableHandshakeData","8242DA61457A63F85D82D18495F1C99E","42D626394F1728E1B6EA3FA9DB551B09","None","0",""
"5","C6B616C347A6339B68F6EC91358BA07F","","0","2020.05.18-15.49.46","Send","ConcertReliableHandshakeData","42D626394F1728E1B6EA3FA9DB551B09","8242DA61457A63F85D82D18495F1C99E","None","0",""
"5","BBB623854F21FE938951EE8C01667881","","0","2020.05.18-15.49.46","Receive","ConcertReliableHandshakeData","8242DA61457A63F85D82D18495F1C99E","42D626394F1728E1B6EA3FA9DB551B09","None","0",""
"5","F12B7BCD4ED7BC9A7F375DA3A328D399","","0","2020.05.18-15.49.46","Send","ConcertReliableHandshakeData","42D626394F1728E1B6EA3FA9DB551B09","8242DA61457A63F85D82D18495F1C99E","None","0",""
"6","BB13D7E04336F1B73486CF8C798912D4","","0","2020.05.18-15.49.46","Receive","ConcertReliableHandshakeData","CCA9AA4C4E2D4F83C451D5BD1FF17388","42D626394F1728E1B6EA3FA9DB551B09","None","0",""
"6","BB13D7E04336F1B73486CF8C798912D4","","0","2020.05.18-15.49.46","Receive","ConcertReliableHandshakeData","CCA9AA4C4E2D4F83C451D5BD1FF17388","42D626394F1728E1B6EA3FA9DB551B09","None","0",""
"6","C357053E40D23D2E94453D937EC6EA70","","0","2020.05.18-15.49.46","Receive","ConcertReliableHandshakeData","8242DA61457A63F85D82D18495F1C99E","42D626394F1728E1B6EA3FA9DB551B09","None","0",""
"6","C357053E40D23D2E94453D937EC6EA70","","0","2020.05.18-15.49.46","Receive","ConcertReliableHandshakeData","8242DA61457A63F85D82D18495F1C99E","42D626394F1728E1B6EA3FA9DB551B09","None","0",""
"8","79B044384093A5BA91A8929831BE35F6","","0","2020.05.18-15.49.47","Publish","ConcertAdmin_DiscoverServersEvent","42D626394F1728E1B6EA3FA9DB551B09","00000000000000000000000000000000","None","0",""
"11","00000000000000000000000000000000","","0","2020.05.18-15.49.48","EndpointTimeOut","None","CCA9AA4C4E2D4F83C451D5BD1FF17388","00000000000000000000000000000000","None","0",""
"11","AA7E312F4FCF31E01B5D3BB5372D5AEC","","0","2020.05.18-15.49.48","Send","ConcertEndpointClosedData","42D626394F1728E1B6EA3FA9DB551B09","CCA9AA4C4E2D4F83C451D5BD1FF17388","None","0",""
"11","00000000000000000000000000000000","","0","2020.05.18-15.49.48","EndpointTimeOut","None","8242DA61457A63F85D82D18495F1C99E","00000000000000000000000000000000","None","0",""
"11","FD6ED84F4E9EEB1B2FEF77B1C8AFA52F","","0","2020.05.18-15.49.48","Send","ConcertEndpointClosedData","42D626394F1728E1B6EA3FA9DB551B09","8242DA61457A63F85D82D18495F1C99E","None","0",""
